age,sex,is_camp_user,night_call_dura_rate,night_call_cnt_rate,called_cnt_rate,contact_ratio,once_numbers,once_numbers_rate,top5_call_dura_rate,top5_call_cnt_rate,top5_opp_belo_cnt,top10_call_dura_rate,top10_call_cnt_rate,top10_opp_belo_cnt,label
25,2,0,1.2726,3.125,87.5,1,2,66.6667,72.002,43.75,3,86.5884,62.5,3,0
18,2,0,8.4315,6.9767,76.7442,3,3,50,99.2148,88.3721,1,100,100,3,0
42,1,1,5.0105,7.6923,49.0385,7,13,65,64.1474,53.8462,2,82.2526,71.1538,3,0
28,2,1,1.4925,3.8462,19.2308,0,21,100,45.9242,19.2308,1,64.0643,38.4615,1,0
60,1,0,0.7424,0.6472,37.5405,15,12,37.5,69.9878,57.2816,3,85.1415,70.8738,3,0
18,2,1,6.4696,25,64.2857,0,5,71.4286,67.6518,32.1429,2,88.8978,53.5714,2,0
22,1,0,8.357,10.3896,54.5455,6,5,38.4615,75.1885,64.9351,2,90.963,81.8182,2,0
22,1,0,3.5835,4.1667,66.6667,0,1,50,79.716,45.8333,4,91.7512,66.6667,5,0
23,1,0,0.6548,2.439,70.7317,2,1,33.3333,83.9881,75.6098,1,96.131,87.8049,1,0
29,2,0,2.1403,5.0633,48.1013,5,4,50,89.9114,74.6835,1,97.2563,89.8734,3,0
60,2,0,0.5797,0.813,69.1057,11,8,50,67.5519,56.9106,1,91.8231,78.0488,4,0
23,1,0,22.8392,17.1875,66.4063,4,2,25,94.8664,92.9688,1,100,100,1,0
45,2,1,1.0541,2.6882,49.4624,14,13,39.3939,64.2071,48.9247,3,75.2988,61.828,3,0
38,1,0,7.7635,3.4146,59.0244,8,3,33.3333,92.3223,90.2439,1,98.9619,94.6341,1,0
62,1,0,0.2901,1.4085,64.7887,7,8,61.5385,70.6364,54.9296,2,87.5107,64.7887,2,0
52,1,0,1.4155,1.6667,63,19,24,58.5366,57.7898,37.6667,1,74.1312,55.3333,1,0
49,2,0,1.8942,3.1746,75.6614,17,14,51.8519,48.6465,15.3439,1,65.6027,37.5661,1,0
30,1,0,3.133,3.4483,46.5517,7,4,44.4444,93.3047,94.2529,1,99.507,98.8506,2,0
46,2,0,4.7881,9.0909,59.0909,1,2,50,94.898,90.9091,2,100,100,3,0
71,1,1,2.8035,4.6784,69.5906,9,7,46.6667,75.4128,61.9883,1,90.4736,80.7018,1,0
34,1,0,2.1211,5.1282,79.4872,4,1,33.3333,96.7236,82.0513,1,99.9138,97.4359,2,0
17,1,0,0.1082,4.0984,72.1311,4,2,40,98.4388,71.3115,1,99.7485,90.1639,3,0
33,2,0,0.0949,0.3906,57.8125,20,10,32.2581,63.1858,44.5313,1,81.7977,66.0156,1,0
37,1,0,2.7708,7.6923,76.9231,1,3,100,100,100,2,100,100,3,0
34,2,1,0.4343,0.303,50.303,17,10,32.2581,59.3928,53.3333,1,76.6159,70.6061,2,0
21,1,1,10.9195,5.8824,52.9412,2,4,66.6667,81.3218,70.5882,2,100,100,3,0
27,2,0,0.1401,1.3699,61.6438,2,4,57.1429,94.3155,75.3425,3,97.2678,83.5616,3,0
64,2,0,2.7612,3.9046,12.1475,2,4,57.1429,97.3545,99.1323,3,100,100,3,0
21,1,0,0.8146,1.5625,54.6875,3,7,77.7778,83.6818,73.4375,1,96.2802,89.0625,1,0
23,1,0,13.1744,11.1111,60,3,2,33.3333,84.2535,71.1111,2,99.3099,97.7778,4,0
43,2,1,4.6188,3.4483,79.3103,2,4,80,66.0557,44.8276,3,87.3167,68.9655,3,0
54,1,0,5.6449,11.6667,76.6667,5,9,90,77.4767,65,1,90.7141,78.3333,3,0
43,2,1,0.1683,0.2433,61.8005,27,15,37.5,55.3137,49.3917,1,72.9138,66.18,1,0
60,1,0,13.4416,11.5789,48.4211,8,14,63.6364,60.6053,47.3684,1,82.2874,66.3158,2,0
0,1,0,16.6667,11.1111,66.6667,0,1,50,79.1667,66.6667,2,100,100,4,0
46,1,0,1.4124,2.0408,61.2245,7,10,62.5,90.6538,80,1,95.8057,87.7551,2,0
42,1,0,1.2399,4.3478,71.7391,5,5,71.4286,69.5213,43.4783,2,88.0623,63.0435,2,0
32,2,0,3.4824,3.125,57.8125,4,4,57.1429,91.1661,62.5,2,96.7252,81.25,3,0
51,1,0,3.8576,4.5455,86.3636,5,4,66.6667,70.496,57.5758,2,87.4099,69.697,3,0
30,1,0,0.4604,2.9412,79.4118,7,3,42.8571,62.6605,57.3529,2,88.1997,69.1176,3,0
29,1,0,0.6137,3.5088,77.193,4,5,62.5,90.923,77.193,1,96.1476,85.0877,1,0
59,1,0,0.2351,3.7736,49.0566,4,4,40,83.2467,39.6226,2,96.6345,77.3585,2,0
27,1,0,0.3814,10,70,0,3,100,98.9407,80,3,100,100,4,0
50,1,0,0.585,1.4831,51.2712,20,28,50.9091,36.7642,46.822,1,55.8938,65.2542,2,0
37,2,0,0.1458,0.6944,58.3333,5,11,68.75,82.5715,68.75,2,89.2118,74.3056,2,0
29,2,0,3.2832,1.5385,52.3077,8,6,46.1538,85.7393,46.1538,2,96.3409,80,2,0
51,2,0,2.07,3.3557,38.255,9,4,26.6667,83.863,62.4161,2,94.6121,72.4832,2,0
45,1,1,12.0692,4.6154,40,8,1,11.1111,87.3184,61.5385,3,98.3187,92.3077,3,0
30,1,0,0,0,100,2,0,0,99.7976,93.3333,1,100,100,3,1
36,1,0,18.4359,5.8824,26.4706,5,9,50,81.1329,48.5294,1,93.7407,75,2,0
18,2,0,0.1292,6.8182,61.3636,2,2,50,96.9932,81.8182,2,99.8708,93.1818,4,0
60,1,0,0.2554,0.6098,48.1707,5,9,52.9412,81.0558,79.2683,1,90.9962,84.1463,2,0
27,1,0,0.2896,1.9231,50,3,3,50,90.5405,82.6923,1,98.1178,92.3077,1,0
45,1,0,0,0,35.2941,3,4,44.4444,72.7944,47.0588,1,92.022,73.5294,2,1
51,2,0,0.3822,3.4483,65.5172,2,3,60,95.6369,72.4138,1,99.0764,89.6552,2,0
58,1,0,0.9146,3.125,46.875,2,3,42.8571,90.9613,68.75,3,97.9914,87.5,4,0
49,1,0,5.676,5.4152,46.2094,8,7,36.8421,76.8855,80.5054,1,88.8042,88.0866,1,0
17,2,0,35.6225,11.1111,77.7778,0,2,66.6667,98.0668,50,3,99.7431,88.8889,4,0
0,3,0,3.0909,6.4626,45.2381,14,8,29.6296,63.1702,56.4626,1,83.5407,71.0884,2,0
35,2,0,0,0,62.5,1,0,0,93.5389,75,1,100,100,4,1
39,1,0,1.3297,2.7778,38.8889,4,2,22.2222,87.934,79.1667,1,97.3406,94.4444,1,0
49,1,0,0.1959,0.7092,46.0993,6,10,47.619,78.7387,60.2837,2,89.2621,74.4681,3,0
26,1,0,2.5045,1.4388,53.9568,7,8,42.1053,67.8822,58.9928,1,81.7271,70.5036,1,0
31,1,0,1.1182,2.2222,44.4444,2,11,73.3333,90.8573,55.5556,1,96.9086,73.3333,2,0
25,2,0,0.2239,0.578,38.7283,13,14,50,64.7052,58.9595,1,83.6213,74.5665,2,0
51,1,0,0.2485,1.1765,51.7647,4,0,0,93.1356,88.2353,3,100,100,4,0
34,1,0,34.3373,27.2727,90.9091,0,1,100,87.5502,63.6364,2,100,100,3,0
44,2,0,3.5398,4.0816,65.3061,4,1,20,96.4081,89.7959,2,100,100,2,0
35,2,0,0.3236,2.9412,67.6471,1,3,60,97.8591,88.2353,1,100,100,2,0
41,1,0,2.4073,1.3605,62.585,6,9,52.9412,74.85,64.6259,1,88.8673,75.5102,1,0
35,2,1,0.3079,1.2797,32.5411,22,33,52.381,54.9353,46.2523,1,75.5428,61.9744,1,0
39,2,0,1.4616,4.7619,47.619,2,6,75,87.9302,57.1429,1,99.2928,90.4762,3,0
23,1,0,0.6082,6.8966,72.4138,1,2,50,97.8966,75.8621,2,99.7212,93.1034,3,0
29,2,0,29.8059,17.8571,75,2,4,80,80.2129,51.7857,3,88.7602,62.5,4,0
19,2,0,7.9012,15.3846,53.8462,0,4,80,80.4938,53.8462,3,100,100,5,0
50,2,0,0.8254,1.4706,25,3,7,70,83.0148,83.8235,1,99.3484,98.5294,1,0
36,2,0,1.556,1.0101,57.5758,8,10,58.8235,74.1234,55.5556,1,96.1048,76.7677,2,0
45,1,1,2.7719,8.3333,58.3333,1,1,50,91.6844,83.3333,4,100,100,4,0
24,2,1,0.412,3.125,68.75,2,0,0,98.7915,87.5,3,100,100,6,0
47,2,0,2.1026,2.1277,57.4468,2,2,50,90.3421,85.1064,3,99.216,95.7447,4,0
22,2,0,3.179,3.3333,80,1,1,50,77.2633,40,4,89.4264,70,5,0
33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,2,1,0.0581,1.7391,47.8261,4,5,45.4545,98.8457,87.8261,3,99.6878,93.913,3,0
43,2,0,2.0022,2.3649,50.6757,17,13,37.1429,66.2497,57.0946,2,81.9114,70.2703,2,0
71,2,0,2.3989,1.4706,80.8824,4,3,50,95.6866,60.2941,2,99.1427,80.8824,2,0
50,1,1,8.8631,14,40.6667,5,70,92.1053,40.2019,12.6667,2,50.7292,23.3333,2,0
46,2,0,0.8311,1.2478,9.2692,3,439,93.6034,4.8457,1.2478,5,7.8601,2.6738,10,1
37,1,0,4.2735,4.1667,100,2,0,0,73.3333,70.8333,1,96.9231,91.6667,3,0
50,2,0,21.4092,12.2449,69.3878,4,3,37.5,72.96,59.1837,1,89.2502,75.5102,3,0
60,2,0,0.9022,2.1739,50,4,5,50,70.7148,56.5217,3,95.5933,84.7826,3,0
42,1,0,0.8639,0.4505,48.6486,22,19,46.3415,53.5034,54.0541,1,72.4884,71.6216,1,0
39,1,0,2.0173,5.8824,94.1176,1,1,100,100,100,2,100,100,6,0
0,3,0,2.1404,5.2632,57.8947,0,6,85.7143,84.6747,52.6316,1,95.2055,78.9474,1,0
58,2,0,2.9146,0.9259,46.7593,10,18,58.0645,74.989,60.6481,2,89.8671,75,2,0
40,1,0,8.1122,1.7857,44.6429,6,9,64.2857,75.0252,55.3571,1,94.0796,83.9286,2,0
36,2,1,0.1247,0.4566,57.0776,5,9,47.3684,74.5812,75.3425,2,88.7322,85.8447,2,0
45,1,0,7.7269,9.5238,66.6667,3,6,66.6667,68.1545,38.0952,2,82.4456,57.1429,3,0
30,2,0,2.7304,2.027,62.8378,5,5,45.4545,89.6774,75.6757,1,96.4132,88.5135,1,0
32,1,0,0.9372,5.2632,86.8421,5,2,66.6667,92.5961,78.9474,2,100,100,2,0
29,1,0,11.6395,11.7647,58.8235,1,3,75,91.3642,52.9412,2,99.4994,94.1176,4,0
67,1,0,0.2485,1.6667,81.6667,7,1,20,61.7687,33.3333,2,85.1254,75,2,0
25,2,0,25.193,10.3448,62.069,3,2,28.5714,94.5302,60.3448,2,96.9774,70.6897,3,0
26,1,0,3.8902,8.3333,66.6667,0,2,66.6667,86.9565,58.3333,2,100,100,4,0
46,2,0,0.4282,1.1976,53.8922,10,9,50,76.5242,64.0719,1,95.1413,84.4311,1,0
57,2,1,0.1932,2.1739,47.8261,8,9,52.9412,76.7583,23.913,2,93.9053,67.3913,3,0
38,2,0,0.1544,0.5952,58.9286,9,6,37.5,72.3095,63.0952,2,89.6104,83.9286,2,0
72,1,0,2.9912,2.2727,40.9091,2,2,50,94.9694,90.9091,1,100,100,2,0
28,1,0,0.8517,0.8475,47.4576,7,6,35.2941,80.0778,65.2542,1,91.372,80.5085,1,0
66,2,0,0.1916,1.9231,28.8462,4,2,25,89.2143,84.6154,3,100,100,4,0
55,1,1,2.2404,3.7037,38.8889,11,13,46.4286,51.3917,46.9136,1,71.7339,57.4074,2,0
41,1,0,3.3269,4.5455,72.7273,4,3,50,86.8859,79.5455,1,95.6286,88.6364,2,0
51,1,0,9.3264,2.9412,52.9412,3,11,84.6154,58.0311,44.1176,1,80.3109,67.6471,1,0
43,2,0,2.2688,2.1959,98.8176,1,0,0,99.9899,99.8311,3,100,100,4,0
51,2,0,0.0786,1.3158,28.9474,7,4,36.3636,80.9707,26.3158,2,99.5548,96.0526,2,0
0,3,0,0.7254,1.8868,47.1698,1,2,50,81.3386,67.9245,2,93.9993,81.1321,3,0
36,2,0,0,0,37.037,6,4,30.7692,70.5434,57.4074,1,92.0042,85.1852,1,1
30,1,0,4.8246,4.918,56.5574,5,3,27.2727,93.557,78.6885,1,99.5391,97.541,1,0
49,2,0,19.4772,15,80,1,0,0,91.1467,50,2,96.543,75,2,0
62,1,0,0.4179,1.5385,43.0769,6,1,16.6667,97.5114,89.2308,1,100,100,2,1
48,1,0,19.3878,13.0435,34.7826,2,4,66.6667,83.0357,65.2174,1,96.6837,91.3043,2,0
45,2,1,0.3119,1.5,56.25,15,12,50,69.9302,49.25,1,86.0784,75.75,1,0
45,2,0,3.5132,2.551,55.6122,9,5,29.4118,83.9179,81.6327,3,95.0451,92.8571,3,0
31,2,0,5.4905,10.3448,65.5172,3,1,50,97.5842,86.2069,3,100,100,4,0
24,1,0,0.5063,1.8868,41.5094,15,9,39.1304,66.4606,51.4151,2,84.2562,75.4717,2,0
61,1,0,2.2624,7.6923,38.4615,5,3,42.8571,89.4231,73.0769,2,99.7738,96.1538,3,0
42,2,0,44.4957,10.3896,80.5195,3,5,71.4286,90.4678,77.9221,2,96.5489,87.013,3,0
51,1,1,2.0408,3.3333,63.3333,5,3,42.8571,83.4184,70,1,100,100,1,0
36,1,0,2.5497,2.5641,15.3846,2,2,50,98.2282,92.3077,2,100,100,4,0
67,1,0,0.0635,0.813,51.2195,9,4,28.5714,65.5129,72.3577,1,89.6158,88.6179,2,0
21,1,1,9.2334,15.1515,78.7879,1,5,83.3333,77.2648,21.2121,4,85.6272,39.3939,4,0
47,2,0,9.0988,21.7391,65.2174,3,4,66.6667,71.7504,39.1304,2,97.227,86.9565,2,0
21,2,0,0.859,6.383,74.4681,3,8,80,90.6082,42.5532,3,95.9111,57.4468,4,0
26,1,0,0.6687,2.381,44.0476,5,1,11.1111,94.4232,79.7619,1,99.0685,90.4762,1,0
26,2,0,0.6199,1.7241,39.6552,4,6,60,96.7637,84.4828,1,99.4221,93.1034,1,0
37,2,0,0.4979,1.2821,52.5641,2,4,66.6667,89.544,84.6154,1,97.7463,92.3077,2,0
0,3,0,0.0613,1.4045,72.191,15,8,40,86.7747,69.382,1,95.6499,83.427,1,0
55,2,0,0.2381,1.1111,41.1111,10,5,31.25,79.9476,63.8889,1,92.8662,88.8889,1,0
30,1,0,5.7171,6.4103,40.3846,8,9,52.9412,65.3485,77.5641,2,90.8652,85.2564,2,0
41,2,1,0.3231,3.0303,15.1515,2,3,37.5,92.0302,57.5758,2,100,100,5,0
56,2,0,0.3827,3.3333,76.6667,3,1,33.3333,98.5785,96.6667,1,100,100,1,0
39,1,0,0,0,82.7586,2,3,75,95.0646,93.1034,3,100,100,3,1
30,1,0,2.6022,2.4528,49.434,15,1,5.8824,69.4044,65.283,2,90.7949,85.8491,2,0
49,1,0,0.2081,1.8182,78.1818,4,6,66.6667,64.3282,25.4545,3,86.8609,72.7273,3,0
25,1,0,7.4541,4.4944,57.3034,13,11,40.7407,56.1446,28.6517,1,76.7151,60.1124,2,0
26,2,0,0.0282,2.5641,76.9231,2,0,0,96.5395,53.8462,3,98.2345,66.6667,4,0
27,2,0,3.9358,0.5236,41.3613,5,4,28.5714,87.5083,80.6283,1,96.5244,89.5288,1,0
47,2,0,0.7366,2.4242,49.697,7,8,47.0588,67.8482,55.1515,2,89.9818,83.0303,3,0
48,1,0,0.2815,0.9615,73.0769,7,10,83.3333,75.6831,37.5,2,88.4367,62.5,2,0
50,2,1,13.0148,2.7397,56.1644,9,11,61.1111,43.9868,17.8082,1,66.9412,56.1644,1,0
36,2,0,0.6123,0.9852,42.8571,11,8,42.1053,60.0422,65.0246,1,86.3194,85.2217,2,0
46,2,1,0.606,4.6512,39.5349,9,7,46.6667,85.6051,48.8372,1,98.1096,90.6977,2,0
24,2,0,5.41,2.1898,32.1168,9,13,54.1667,64.9685,64.2336,2,88.5735,83.2117,2,0
18,1,0,1.1366,4.9505,75.2475,2,2,50,99.7819,97.0297,3,100,100,7,0
36,1,0,15.1655,15.3153,31.982,12,14,46.6667,54.9759,44.1441,2,75.4775,68.018,3,0
